artwork_id,artist_id,artist_name,title,year,technique,inventory_number,image_width_cm,image_height_cm,frame_width_cm,frame_height_cm,is_available,loaned_until,thumbnail_url,full_image_url,first_seen_at,last_seen_at,last_updated_at
13779,663,Oliver Dorfer,ohne Titel,2004,Lithografie/Papier,6335,61,80,74,104,False,06.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=13779&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=13779,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
6210,604,Maria Moser,Eisenblüten (Serie),undatiert,Farbradierung/Papier,5787,33.5,49.5,64,84,False,17.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=6210&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=6210,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
11248,1017,Dieter Josef,America III,Casa Grande,"2001, Lithografie/Papier",5651,90,64.5,104,74,False,07.07.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=11248&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=11248,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
643,611,Herbert Pasiecznyk,Lanzarote,1995,Aquarell/Papier,106,56,42,84,64,False,17.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=643&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=643,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
848,663,Oliver Dorfer,Lynn,2007,Farblithografie/Papier,279,48,59,64,84,False,02.07.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=848&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=848,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
1559,698,Gerhard Gutenberger,ohne Titel (Serie),2009,Glicéedruck/Rives Lithobütten,822,50,65,64,84,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=1559&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=1559,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
849,801,Ingrid Niedermayr,Strand-Røvig,2008,Öl/Leinwand,603,100,70,,,False,08.10.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=849&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=849,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
6860,689,Herwig Berger,Erinnerung an eine Landschaft I,2013,Acryl/Papier,5421,70,100,74,104,False,03.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=6860&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=6860,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
16156,1516,Klement Johanna,Stereotyp (Serie),2010,Siebdruck/Papier,1590,72,53,104,74,False,01.06.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=16156&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=16156,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
5668,698,Gerhard Gutenberger,ohne Titel,2004,Acryl/Leinwand,5532,120,171,,,False,19.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=5668&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=5668,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
